customer_id,age,region,income_man,price_sens,quality_pref,digital_pref
C000001,45,central,655.9,0.515,0.448,0.615
C000002,29,central,510.0,0.506,0.315,0.528
C000003,50,south,631.8,0.7,0.607,0.837
C000004,52,central,303.7,0.5,0.254,0.792
C000005,18,central,397.3,0.51,0.326,0.541
C000006,25,east,454.5,0.583,0.357,0.623
C000007,43,west,177.8,1.0,0.102,0.379
C000008,37,west,229.2,0.927,0.038,0.532
C000009,41,east,234.7,0.518,0.236,0.498
C000010,31,east,727.6,0.741,0.663,0.804
C000011,52,north,533.0,0.803,0.499,0.288
C000012,50,south,663.7,0.38,0.748,0.0
C000013,42,south,152.5,0.472,0.332,0.215
C000014,55,south,188.9,0.797,0.341,0.239
C000015,47,east,684.8,0.719,0.802,0.37
C000016,31,east,86.8,1.0,0.092,0.65
C000017,45,west,959.1,0.352,0.597,0.299
C000018,29,west,154.0,1.0,0.22,0.385
C000019,52,central,763.0,0.194,0.773,0.28
C000020,40,central,269.9,0.681,0.334,0.327
C000021,39,central,863.1,0.441,0.469,0.446
C000022,33,central,3153.0,0.418,0.913,0.48
C000023,56,central,117.6,1.0,0.045,0.576
C000024,39,west,698.2,0.689,0.604,0.359
C000025,36,north,155.5,0.644,0.285,0.506
C000026,37,north,594.2,0.708,0.463,0.462
C000027,47,east,406.3,0.731,0.5,0.663
C000028,45,east,497.3,0.363,0.233,0.484
C000029,46,north,266.2,0.429,0.355,0.718
C000030,46,central,734.8,0.692,0.464,0.278
C000031,67,east,192.9,0.776,0.696,0.351
C000032,36,central,968.9,0.288,0.613,0.463
C000033,35,south,359.8,0.648,0.302,0.34
C000034,31,south,198.3,0.853,0.065,0.599
C000035,48,south,,0.426,0.827,0.841
C000036,55,east,441.8,0.405,0.38,0.274
C000037,40,south,1444.9,0.684,0.55,0.525
C000038,31,east,957.2,0.634,0.637,0.351
C000039,31,central,285.0,0.675,0.442,0.321
C000040,49,east,437.1,0.596,0.525,0.33
C000041,50,east,494.6,0.669,0.458,0.39
C000042,48,south,1149.4,0.277,0.647,0.413
C000043,33,south,598.1,0.626,0.528,0.554
C000044,44,west,511.3,0.409,0.512,0.192
C000045,42,west,408.0,0.643,0.48,0.411
C000046,44,north,446.3,0.461,0.598,0.622
C000047,51,south,1006.2,0.306,0.605,0.201
C000048,44,east,461.0,0.876,0.318,0.451
C000049,49,east,362.9,0.686,0.371,0.546
C000050,42,north,327.8,0.729,0.486,0.38
C000051,44,east,330.0,0.394,0.106,0.59
C000052,49,east,198.3,0.708,0.005,0.183
