order_id,order_date,customer_id,product_id,channel,ab_group,purchased,quantity,discount,revenue_yen,returned,rating
O0000001,2025-06-27,C001980,,web,B,0,0,0.0,0,0,
O0000002,2025-12-13,C000782,P000614,store,A,1,2,0.0618,42107,0,3.92
O0000003,2025-02-09,C002823,,web,B,0,0,0.0,0,0,
O0000004,2025-04-12,C001624,,app,A,0,0,0.0,0,0,
O0000005,2025-09-09,C002391,,web,A,0,0,0.0,0,0,
O0000006,2025-02-02,C002377,,store,A,0,0,0.0,0,0,
O0000007,2025-10-31,C000901,,web,A,0,0,0.0,0,0,
O0000008,2025-05-28,C001774,,web,B,0,0,0.0,0,0,
O0000009,2025-01-08,C001780,,web,B,0,0,0.0,0,0,
O0000010,2025-09-19,C001367,,app,B,0,0,0.0,0,0,
O0000011,2025-07-05,C001906,,web,A,0,0,0.0,0,0,
O0000012,2025-12-29,C001009,,store,A,0,0,0.0,0,0,
O0000013,2025-08-23,C000295,,app,B,0,0,0.0,0,0,
O0000014,2025-05-11,C000136,,store,B,0,0,0.0,0,0,
O0000015,2025-08-29,C001341,P000483,web,B,1,1,0.0537,3790,0,5.0
O0000016,2025-01-05,C002740,P000646,app,A,1,2,0.1055,14474,0,
O0000017,2025-09-25,C000644,,app,A,0,0,0.0,0,0,
O0000018,2025-05-16,C001776,,store,B,0,0,0.0,0,0,
O0000019,2025-06-15,C000493,P000500,web,A,1,2,0.1638,1671,0,4.52
O0000020,2025-07-21,C001895,P000436,web,A,1,5,0.1481,8398,0,4.92
O0000021,2025-09-11,C000553,P000571,web,B,1,1,0.162,3339,0,4.32
O0000022,2025-03-24,C001322,,app,A,0,0,0.0,0,0,
O0000023,2025-03-05,C002425,,store,A,0,0,0.0,0,0,
O0000024,2025-08-18,C001119,,web,A,0,0,0.0,0,0,
O0000025,2025-10-19,C002803,,app,B,0,0,0.0,0,0,
O0000026,2025-03-09,C000140,,web,A,0,0,0.0,0,0,
O0000027,2025-03-20,C000252,P000138,web,B,1,3,0.1778,4658,0,4.03
O0000028,2025-12-21,C000507,,store,A,0,0,0.0,0,0,
O0000029,2025-04-16,C000732,,app,B,0,0,0.0,0,0,
O0000030,2025-02-27,C001277,,store,A,0,0,0.0,0,0,
O0000031,2025-08-14,C002742,,web,B,0,0,0.0,0,0,
O0000032,2025-09-23,C000726,,app,A,0,0,0.0,0,0,
O0000033,2025-06-05,C001071,P000095,app,B,1,2,0.2761,21356,0,3.73
O0000034,2025-10-01,C000134,,app,B,0,0,0.0,0,0,
O0000035,2025-03-20,C002144,,web,B,0,0,0.0,0,0,
O0000036,2025-07-20,C001639,,web,A,0,0,0.0,0,0,
O0000037,2025-07-10,C000136,,web,B,0,0,0.0,0,0,
O0000038,2025-04-07,C001393,,app,B,0,0,0.0,0,0,
O0000039,2025-01-14,C000656,,app,A,0,0,0.0,0,0,
O0000040,2025-05-30,C001265,P000433,app,A,1,1,0.1315,21066,0,4.56
O0000041,2025-06-06,C000853,,web,B,0,0,0.0,0,0,
O0000042,2025-10-02,C002353,,app,B,0,0,0.0,0,0,
O0000043,2025-03-15,C000173,,web,A,0,0,0.0,0,0,
O0000044,2025-05-26,C001799,,store,A,0,0,0.0,0,0,
O0000045,2025-05-31,C002380,,web,A,0,0,0.0,0,0,
O0000046,2025-05-31,C000005,,app,A,0,0,0.0,0,0,
O0000047,2025-03-12,C002714,,web,A,0,0,0.0,0,0,
O0000048,2025-07-14,C002286,,web,A,0,0,0.0,0,0,
O0000049,2025-12-14,C000838,,app,B,0,0,0.0,0,0,
O0000050,2025-08-20,C001448,,app,B,0,0,0.0,0,0,
O0000051,2025-12-16,C002043,,web,B,0,0,0.0,0,0,
O0000052,2025-10-24,C001551,,app,A,0,0,0.0,0,0,
O0000053,2025-11-24,C002270,,web,B,0,0,0.0,0,0,
O0000054,2025-11-25,C002669,,store,B,0,0,0.0,0,0,
O0000055,2025-10-07,C001075,P000077,app,A,1,4,0.0975,17155,1,
O0000056,2025-01-11,C000328,P000710,app,A,1,3,0.0811,12113,0,4.33
O0000057,2025-04-18,C001295,P000501,app,B,1,1,0.0645,4478,0,3.56
O0000058,2025-10-15,C001799,,app,B,0,0,0.0,0,0,
O0000059,2025-04-02,C002326,,web,A,0,0,0.0,0,0,
O0000060,2025-09-03,C000847,,app,A,0,0,0.0,0,0,
O0000061,2025-10-31,C002785,,store,B,0,0,0.0,0,0,
O0000062,2025-12-12,C000111,,app,A,0,0,0.0,0,0,
O0000063,2025-07-22,C001742,,web,A,0,0,0.0,0,0,
O0000064,2025-05-11,C001313,,web,B,0,0,0.0,0,0,
O0000065,2025-12-03,C002085,,store,B,0,0,0.0,0,0,
O0000066,2025-11-30,C000851,P000008,web,A,1,3,0.0763,14991,0,
O0000067,2025-05-29,C002796,,web,A,0,0,0.0,0,0,
O0000068,2025-02-10,C000005,P000594,store,A,1,2,0.1634,6950,0,4.78
O0000069,2025-12-17,C002448,,store,A,0,0,0.0,0,0,
O0000070,2025-05-27,C001479,,app,B,0,0,0.0,0,0,
O0000071,2025-06-29,C001548,,web,B,0,0,0.0,0,0,
O0000072,2025-06-04,C000934,P000393,app,B,1,1,0.123,9984,0,3.08
O0000073,2025-01-21,C001176,P000188,store,A,1,2,0.0372,12286,0,4.87
O0000074,2025-01-22,C001303,,web,A,0,0,0.0,0,0,
O0000075,2025-02-23,C000934,,web,A,0,0,0.0,0,0,
O0000076,2025-05-17,C000036,,store,B,0,0,0.0,0,0,
O0000077,2025-07-29,C001202,,app,A,0,0,0.0,0,0,
O0000078,2025-04-22,C001206,,app,A,0,0,0.0,0,0,
O0000079,2025-03-23,C002166,,store,A,0,0,0.0,0,0,
O0000080,2025-11-04,C001412,,app,B,0,0,0.0,0,0,
O0000081,2025-08-26,C001649,,store,A,0,0,0.0,0,0,
O0000082,2025-07-17,C001399,,web,A,0,0,0.0,0,0,
O0000083,2025-05-23,C001273,,app,B,0,0,0.0,0,0,
O0000084,2025-01-25,C002151,,app,B,0,0,0.0,0,0,
O0000085,2025-02-17,C002027,,web,A,0,0,0.0,0,0,
O0000086,2025-06-07,C002974,,web,B,0,0,0.0,0,0,
O0000087,2025-09-18,C001491,,app,B,0,0,0.0,0,0,
O0000088,2025-04-12,C000084,P000469,app,A,1,3,0.1006,53116,0,
O0000089,2025-10-17,C001756,,web,B,0,0,0.0,0,0,
O0000090,2025-03-14,C001189,,app,A,0,0,0.0,0,0,
O0000091,2025-10-12,C000288,,app,B,0,0,0.0,0,0,
O0000092,2025-06-21,C002571,,app,A,0,0,0.0,0,0,
O0000093,2025-04-03,C001899,P000252,app,A,1,2,0.1143,90877,0,5.0
O0000094,2025-04-28,C001878,,web,B,0,0,0.0,0,0,
O0000095,2025-04-05,C001910,,web,B,0,0,0.0,0,0,
O0000096,2025-06-23,C002951,,store,A,0,0,0.0,0,0,
O0000097,2025-07-30,C002065,,store,B,0,0,0.0,0,0,
O0000098,2025-06-15,C002141,,app,A,0,0,0.0,0,0,
O0000099,2025-01-22,C002254,,app,A,0,0,0.0,0,0,
O0000100,2025-04-04,C002173,,web,A,0,0,0.0,0,0,
O0000101,2025-02-04,C002113,,app,A,0,0,0.0,0,0,
O0000102,2025-03-11,C000229,,app,B,0,0,0.0,0,0,
O0000103,2025-12-26,C001208,,app,A,0,0,0.0,0,0,
O0000104,2025-08-17,C000826,,web,A,0,0,0.0,0,0,
O0000105,2025-07-26,C002673,,web,B,0,0,0.0,0,0,
O0000106,2025-08-20,C001752,,store,A,0,0,0.0,0,0,
O0000107,2025-02-15,C001548,,app,B,0,0,0.0,0,0,
O0000108,2025-03-23,C001568,,store,A,0,0,0.0,0,0,
O0000109,2025-07-30,C002047,,app,B,0,0,0.0,0,0,
O0000110,2025-02-11,C002288,,store,A,0,0,0.0,0,0,
O0000111,2025-02-16,C000605,,web,B,0,0,0.0,0,0,
O0000112,2025-10-09,C002981,,web,A,0,0,0.0,0,0,
O0000113,2025-06-29,C002286,P000637,app,A,1,2,0.1201,1227,0,3.99
O0000114,2025-10-12,C000621,,app,B,0,0,0.0,0,0,
O0000115,2025-11-04,C001818,,web,A,0,0,0.0,0,0,
O0000116,2025-07-17,C001286,,app,A,0,0,0.0,0,0,
O0000117,2025-12-01,C001131,P000203,web,A,1,3,0.1716,23293,0,5.0
O0000118,2025-07-17,C002601,P000186,web,A,1,5,0.0674,26074,0,4.92
O0000119,2025-02-23,C000857,,store,B,0,0,0.0,0,0,
O0000120,2025-02-20,C002515,,app,B,0,0,0.0,0,0,
O0000121,2025-12-21,C001911,,web,B,0,0,0.0,0,0,
O0000122,2025-11-05,C002452,,web,A,0,0,0.0,0,0,
O0000123,2025-08-28,C002236,,store,B,0,0,0.0,0,0,
O0000124,2025-05-15,C001862,,store,B,0,0,0.0,0,0,
O0000125,2025-12-02,C000572,,web,B,0,0,0.0,0,0,
O0000126,2025-03-25,C002980,,app,A,0,0,0.0,0,0,
O0000127,2025-06-26,C001928,,app,A,0,0,0.0,0,0,
O0000128,2025-06-05,C001074,P000724,web,A,1,1,0.1917,1296,0,4.97
O0000129,2025-03-01,C000769,,app,A,0,0,0.0,0,0,
O0000130,2025-02-22,C000349,,web,B,0,0,0.0,0,0,
O0000131,2025-09-05,C000948,P000132,web,B,1,4,0.0796,3248,0,4.17
O0000132,2025-04-07,C000398,P000726,app,A,1,3,0.1505,37928,0,4.81
O0000133,2025-10-03,C002664,,web,B,0,0,0.0,0,0,
O0000134,2025-05-29,C001308,,app,B,0,0,0.0,0,0,
O0000135,2025-11-29,C001879,,web,B,0,0,0.0,0,0,
O0000136,2025-03-23,C002415,,app,A,0,0,0.0,0,0,
O0000137,2025-05-21,C002885,,store,B,0,0,0.0,0,0,
O0000138,2025-04-04,C001359,,app,A,0,0,0.0,0,0,
O0000139,2025-05-20,C000157,P000632,app,B,1,2,0.1199,1205,0,3.85
O0000140,2025-06-30,C001835,,app,A,0,0,0.0,0,0,
O0000141,2025-10-06,C002841,,store,A,0,0,0.0,0,0,
O0000142,2025-09-18,C001075,,app,B,0,0,0.0,0,0,
O0000143,2025-02-11,C000307,,web,A,0,0,0.0,0,0,
O0000144,2025-06-21,C002145,,web,B,0,0,0.0,0,0,
O0000145,2025-02-27,C001863,,app,A,0,0,0.0,0,0,
O0000146,2025-12-28,C000460,,app,A,0,0,0.0,0,0,
O0000147,2025-02-03,C000011,,web,A,0,0,0.0,0,0,
O0000148,2025-02-02,C001561,,app,A,0,0,0.0,0,0,
O0000149,2025-04-04,C000446,,app,B,0,0,0.0,0,0,
O0000150,2025-07-06,C000556,,web,B,0,0,0.0,0,0,
O0000151,2025-07-28,C000927,,app,B,0,0,0.0,0,0,
O0000152,2025-05-27,C001406,P000002,web,B,1,1,0.1251,2136,0,4.04
O0000153,2025-09-25,C002455,P000354,app,A,1,1,0.155,13642,0,4.93
O0000154,2025-03-13,C001292,,app,B,0,0,0.0,0,0,
O0000155,2025-04-09,C002509,,store,A,0,0,0.0,0,0,
O0000156,2025-01-09,C001814,,app,B,0,0,0.0,0,0,
O0000157,2025-08-02,C001179,,web,B,0,0,0.0,0,0,
O0000158,2025-01-07,C001529,,app,A,0,0,0.0,0,0,
O0000159,2025-10-10,C000424,,store,A,0,0,0.0,0,0,
O0000160,2025-09-13,C002928,,web,A,0,0,0.0,0,0,
O0000161,2025-09-13,C000906,,web,B,0,0,0.0,0,0,
O0000162,2025-08-05,C002701,,web,B,0,0,0.0,0,0,
O0000163,2025-11-30,C001936,,app,B,0,0,0.0,0,0,
O0000164,2025-08-17,C000883,P000392,app,B,1,3,0.1216,4076,0,5.0
O0000165,2025-10-21,C001461,,web,B,0,0,0.0,0,0,
O0000166,2025-04-05,C000364,,app,B,0,0,0.0,0,0,
O0000167,2025-04-12,C001847,,store,A,0,0,0.0,0,0,
O0000168,2025-08-06,C000195,,web,B,0,0,0.0,0,0,
O0000169,2025-09-23,C001918,,app,B,0,0,0.0,0,0,
O0000170,2025-04-30,C000594,P000651,store,A,1,3,0.1839,2953,0,
O0000171,2025-06-24,C000386,,store,B,0,0,0.0,0,0,
O0000172,2025-12-09,C000667,,web,A,0,0,0.0,0,0,
