id,age,sex,region,education,height_cm,income_man
1,50,M,south,master,172.7,435.7
2,50,F,east,high_school,152.9,1459.7
3,42,M,central,bachelor,173.6,514.7
4,45,M,west,master,170.2,497.4
5,27,F,north,high_school,154.7,294.6
6,18,M,north,high_school,166.2,83.3
7,44,M,south,phd,187.6,452.6
8,46,M,east,high_school,169.4,705.5
9,58,F,west,vocational,149.7,326.8
10,62,F,central,vocational,154.2,297.7
11,62,F,north,high_school,157.9,863.4
12,29,M,north,bachelor,174.4,922.6
13,37,M,central,bachelor,174.4,667.1
14,48,M,west,vocational,175.2,363.8
15,75,F,north,master,154.5,574.1
16,61,F,central,high_school,160.2,269.0
17,57,M,central,high_school,165.6,257.0
18,37,F,west,bachelor,154.6,261.7
19,31,M,west,phd,165.3,410.8
20,52,M,east,high_school,163.6,244.0
21,28,M,north,high_school,177.6,135.4
22,39,F,west,bachelor,162.2,538.3
23,41,M,east,bachelor,177.1,600.5
24,63,M,south,high_school,171.2,1160.2
25,37,M,central,vocational,175.8,287.1
26,18,F,north,bachelor,148.0,369.5
27,49,F,west,vocational,163.2,518.1
28,33,F,east,high_school,159.2,281.7
29,43,F,central,high_school,161.8,556.1
30,41,M,east,vocational,173.4,667.8
31,38,M,west,vocational,164.9,503.2
32,52,M,west,master,161.7,572.8
33,22,F,east,bachelor,154.1,287.9
34,35,F,south,bachelor,161.5,213.0
35,51,F,south,phd,162.2,434.0
36,34,F,west,vocational,150.3,261.2
37,21,F,south,vocational,152.5,152.0
38,51,F,central,master,154.0,772.1
39,57,F,east,high_school,156.1,794.2
40,41,M,west,bachelor,162.6,320.3
41,18,F,north,bachelor,150.0,366.9
42,51,M,south,high_school,165.9,242.4
43,20,M,west,vocational,171.5,250.7
44,46,F,east,high_school,151.4,260.2
45,30,M,north,high_school,170.3,462.8
46,27,M,central,vocational,177.6,241.4
47,36,F,east,high_school,150.6,591.1
48,40,F,south,bachelor,157.0,421.9
49,34,M,north,master,177.4,380.2
50,50,F,central,bachelor,155.8,267.2
51,36,F,east,high_school,154.9,389.5
52,55,F,east,high_school,164.9,665.6
53,46,M,central,high_school,169.1,477.5
54,33,M,central,high_school,177.8,1198.3
55,31,M,east,master,173.7,1135.9
