product_id,category,price_yen,quality_score
P000001,books,788,3.15
P000002,beauty,2761,3.85
P000003,home,19198,3.6
P000004,fashion,7686,3.56
P000005,fashion,21595,2.57
P000006,grocery,2186,3.33
P000007,fashion,7678,3.4
P000008,sports,6595,3.35
P000009,beauty,2142,3.83
P000010,sports,7384,4.03
P000011,fashion,16360,3.01
P000012,fashion,11167,3.06
P000013,beauty,6101,3.91
P000014,fashion,7769,4.59
P000015,electronics,241104,4.73
P000016,grocery,784,3.12
P000017,fashion,7259,3.61
P000018,electronics,63666,4.47
P000019,fashion,2431,4.05
P000020,sports,8378,3.71
P000021,electronics,18755,3.79
P000022,home,3802,3.62
P000023,home,14775,3.54
P000024,grocery,1678,4.09
P000025,grocery,2871,2.87
P000026,electronics,14335,2.94
P000027,electronics,55500,3.45
P000028,grocery,1222,3.54
P000029,books,4120,2.82
P000030,grocery,1072,3.16
P000031,grocery,1138,3.4
P000032,books,2732,4.01
P000033,beauty,2322,4.27
P000034,beauty,3363,4.16
P000035,grocery,2709,3.76
P000036,sports,10317,3.79
P000037,home,8029,4.54
P000038,home,9151,3.51
P000039,beauty,5335,3.11
P000040,grocery,1468,3.06
P000041,books,4201,4.23
P000042,books,2667,2.53
P000043,home,7767,3.85
P000044,fashion,6544,3.88
P000045,beauty,6226,3.96
P000046,fashion,8863,3.94
P000047,home,21438,2.56
P000048,electronics,31813,4.29
P000049,sports,25033,4.87
P000050,books,2445,3.53
P000051,electronics,106666,3.95
P000052,beauty,3567,3.72
P000053,sports,19516,4.19
P000054,electronics,51161,3.81
P000055,fashion,8860,3.41
P000056,grocery,3506,3.47
P000057,sports,19698,4.22
P000058,grocery,1380,3.32
P000059,electronics,10485,2.88
P000060,fashion,30276,4.22
P000061,grocery,865,2.91
P000062,electronics,20575,3.99
P000063,home,8862,4.07
P000064,electronics,26179,3.51
P000065,beauty,3908,3.51
P000066,beauty,1886,2.8
P000067,sports,12185,5.0
P000068,electronics,57231,3.67
P000069,home,7128,4.23
P000070,beauty,5447,2.91
P000071,grocery,896,3.77
P000072,electronics,20100,4.38
P000073,electronics,46742,3.54
P000074,home,7203,3.23
P000075,grocery,1238,3.52
P000076,books,2126,3.52
P000077,sports,5505,3.97
P000078,beauty,6173,3.44
P000079,books,1655,3.49
P000080,beauty,1210,2.94
P000081,electronics,16484,3.58
P000082,electronics,42182,4.08
P000083,sports,6930,3.85
P000084,grocery,432,3.0
P000085,books,2266,3.13
P000086,electronics,54418,4.39
P000087,fashion,9103,3.88
P000088,beauty,8004,3.45
P000089,sports,11408,3.49
P000090,sports,5351,3.6
P000091,electronics,116831,3.82
P000092,grocery,946,3.7
P000093,home,7690,3.47
P000094,books,1403,3.86
P000095,fashion,11031,3.52
P000096,home,4865,3.9
P000097,electronics,49878,4.66
P000098,beauty,2223,3.92
P000099,electronics,23711,3.42
P000100,books,1113,3.58
P000101,electronics,119435,3.35
P000102,beauty,4360,3.34
P000103,beauty,3332,3.64
P000104,fashion,14803,3.62
P000105,fashion,10500,3.44
P000106,home,7089,3.71
P000107,home,10219,3.91
